,movie_id,imdb_score,release_day,release_year,duration_mins,budget,aspect_ratio,number_news_articles,director_facebook_likes,actor_1_facebook_likes,actor_1_star_meter,actor_2_facebook_likes,cast_total_facebook_likes,number_of_faces_in_movie_poster,movie_budget,movie_facebook_likes,action,adventure,scifi,thriller,musical,romance,western,sport,horror,drama,war,animation,crime,sum_total_likes,ratio_movie_cast_likes,movie_meter_IMDB_pro,number_of_votes
movie_id,1,-0.113930024,-0.030494927,-0.025077859,-0.11702608,-0.134301189,-0.049376383,-0.113330528,-0.041069263,-0.059043055,0.024564568,-0.06166678,-0.073881428,-0.020152178,-0.108998457,-0.024204551,-0.02807337,-0.041890035,-0.07162878,-0.036586501,-0.012135207,0.012450106,-0.015073226,-0.036935946,0.073602743,-0.012368672,0.013825899,0.047714604,-0.0294885,-0.073930356,-0.015100014,0.032832195,-0.174301146
imdb_score,-0.113930024,1,0.003279514,-0.186210803,0.334924544,0.040312805,0.018578276,0.224939032,0.204640303,0.069614205,0.024139239,0.09005119,0.086365303,-0.033287726,0.033313445,-0.015805668,-0.040779399,-0.006970806,-0.049320524,-0.075779252,-0.021612672,-0.020103416,0.039748114,0.035752722,-0.169084066,0.297928267,0.107951087,0.039487155,0.05781254,0.115722671,0.029781657,-0.070630048,0.462236879
release_day,-0.030494927,0.003279514,1,-0.008168576,0.015040284,-0.024315156,0.00398872,-0.021039171,0.012080781,-0.028303102,0.0061665,0.020017038,-0.019421427,-0.004478606,-0.028600557,-0.006331265,-0.008472424,-0.00520103,-0.012102649,-0.016001697,-0.016671431,-0.004541315,0.018561485,0.004674027,-0.009385642,0.003326348,0.006488601,0.01249578,-0.010750839,-0.016931072,-0.02308851,0.027986721,-0.00539534
release_year,-0.025077859,-0.186210803,-0.008168576,1,-0.146640274,0.224233585,0.110908827,0.117441894,-0.07155794,0.087952023,-0.004360595,0.111745642,0.114433756,0.000407437,0.180893689,0.006774795,-0.005063962,-0.037449403,-0.010310843,0.049877442,-0.055182541,-0.017794747,-0.085823821,0.0079289,-0.022317377,0.004542805,-0.092524288,0.06701649,0.012480079,0.096513175,0.027383541,0.056815398,0.017837117
duration_mins,-0.11702608,0.334924544,0.015040284,-0.146640274,1,0.281749093,-0.076257809,0.192595335,0.181982294,0.073906939,-0.040796268,0.135501661,0.114970828,-0.009359541,0.269475204,-0.00092655,-0.00339817,0.083148703,0.001179418,-0.007654314,-0.00527446,0.017855129,0.090064872,0.021871139,-0.1569478,0.254959223,0.184875618,-0.150646414,0.01761679,0.13224492,-0.016302624,-0.082403752,0.323315679
budget,-0.134301189,0.040312805,-0.024315156,0.224233585,0.281749093,1,0.056625551,0.376942448,0.094114444,0.143892678,-0.054021858,0.242680843,0.223509672,0.004780911,0.902896361,0.018301607,0.044520623,0.456390934,0.233402873,0.047604196,-0.064363257,-0.088389646,-0.004847658,-0.028500695,-0.134870222,-0.210071762,0.008700089,0.219066547,-0.064492221,0.213892246,-0.000647148,-0.137824902,0.4076969
aspect_ratio,-0.049376383,0.018578276,0.00398872,0.110908827,-0.076257809,0.056625551,1,0.026633457,0.00827022,-0.004180901,-0.011188688,0.00769531,-0.000650865,0.003704224,0.057033714,0.005044781,0.011432106,0.017198764,0.008859762,0.074340452,-0.031613459,-0.045223778,0.003392304,-0.011905572,0.002704992,0.027856695,0.001200327,-0.031501163,0.056090847,-0.001946455,0.006568264,0.010554791,0.020195981
number_news_articles,-0.113330528,0.224939032,-0.021039171,0.117441894,0.192595335,0.376942448,0.026633457,1,0.158954837,0.12470815,-0.027245731,0.234100851,0.208317161,-0.006223329,0.332139061,0.015078921,0.013073714,0.206968501,0.205902471,-0.017508958,-0.038964536,-0.057376498,-0.014975058,-0.036339224,-0.019451026,-0.084976957,-0.024405122,-0.005561945,-0.05053056,0.207854259,0.014582261,-0.0827726,0.574851743
director_facebook_likes,-0.041069263,0.204640303,0.012080781,-0.07155794,0.181982294,0.094114444,0.00827022,0.158954837,1,0.085529184,-0.017698827,0.11452365,0.115214023,-0.003527762,0.08654195,0.006576291,-0.000728726,0.002257764,-0.010591823,0.025171813,-0.036615408,-0.039734342,0.023451386,0.015484554,-0.072595444,0.044002321,0.03098311,-0.044292123,0.039797682,0.262430175,-0.016460094,-0.015401318,0.300692735
actor_1_facebook_likes,-0.059043055,0.069614205,-0.028303102,0.087952023,0.073906939,0.143892678,-0.004180901,0.12470815,0.085529184,1,-0.035505003,0.376896079,0.950293694,-0.00352596,0.124838498,-0.002805272,-0.002521242,0.031722597,0.000473357,0.055733888,-0.050732078,-0.022383659,0.00475828,-0.006025162,-0.042367941,0.010370411,-0.004289475,0.003067751,0.036369499,0.947321048,-0.038466299,-0.038697063,0.164171251
